   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.1284000E+00  0.9217730E+11  0.9375951E+11  0.2613028E+01  0.1290000E+00  0.1133935E+04  0.2302501E+02
   0.1296000E+00  0.9179091E+11  0.9350641E+11  0.2614840E+01  0.1302000E+00  0.1137440E+04  0.2302501E+02
   0.1308000E+00  0.9137061E+11  0.9321975E+11  0.2616816E+01  0.1314000E+00  0.1141235E+04  0.2302501E+02
   0.1320000E+00  0.9091670E+11  0.9289974E+11  0.2618954E+01  0.1326000E+00  0.1145320E+04  0.2302501E+02
   0.1332000E+00  0.9042954E+11  0.9254663E+11  0.2621254E+01  0.1338000E+00  0.1149696E+04  0.2302501E+02
   0.1344000E+00  0.8990955E+11  0.9216071E+11  0.2623715E+01  0.1350000E+00  0.1154363E+04  0.2302501E+02
   0.1356000E+00  0.8935719E+11  0.9174230E+11  0.2626336E+01  0.1362000E+00  0.1159320E+04  0.2302501E+02
   0.1368000E+00  0.8877299E+11  0.9129174E+11  0.2629114E+01  0.1374000E+00  0.1164568E+04  0.2302501E+02
   0.1380000E+00  0.8815755E+11  0.9080942E+11  0.2632049E+01  0.1386000E+00  0.1170104E+04  0.2302501E+02
   0.1392000E+00  0.8751151E+11  0.9029578E+11  0.2635138E+01  0.1398000E+00  0.1175927E+04  0.2302501E+02
   0.1404000E+00  0.8683558E+11  0.8975128E+11  0.2638378E+01  0.1410000E+00  0.1182036E+04  0.2302501E+02
   0.1416000E+00  0.8613051E+11  0.8917648E+11  0.2641767E+01  0.1422000E+00  0.1188427E+04  0.2302501E+02
   0.1428000E+00  0.8539709E+11  0.8857196E+11  0.2645301E+01  0.1434000E+00  0.1195098E+04  0.2302501E+02
   0.1440000E+00  0.8463614E+11  0.8793837E+11  0.2648977E+01  0.1446000E+00  0.1202045E+04  0.2302501E+02
   0.1452000E+00  0.8384846E+11  0.8727645E+11  0.2652789E+01  0.1458000E+00  0.1209266E+04  0.2302501E+02
   0.1464000E+00  0.8303483E+11  0.8658701E+11  0.2656734E+01  0.1470000E+00  0.1216755E+04  0.2302501E+02
   0.1476000E+00  0.8219598E+11  0.8587092E+11  0.2660806E+01  0.1482000E+00  0.1224511E+04  0.2302501E+02
   0.1488000E+00  0.8133251E+11  0.8512914E+11  0.2665002E+01  0.1494000E+00  0.1232531E+04  0.2302501E+02
   0.1500000E+00  0.8044490E+11  0.8436272E+11  0.2669317E+01  0.1506000E+00  0.1240813E+04  0.2302501E+02
   0.1512000E+00  0.7953345E+11  0.8357273E+11  0.2673747E+01  0.1518000E+00  0.1249360E+04  0.2302501E+02
   0.1524000E+00  0.7859822E+11  0.8276031E+11  0.2678289E+01  0.1530000E+00  0.1258172E+04  0.2302501E+02
   0.1536000E+00  0.7763904E+11  0.8192662E+11  0.2682943E+01  0.1542000E+00  0.1267257E+04  0.2302501E+02
   0.1548000E+00  0.7665547E+11  0.8107275E+11  0.2687708E+01  0.1554000E+00  0.1276623E+04  0.2302501E+02
   0.1560000E+00  0.7564679E+11  0.8019975E+11  0.2692589E+01  0.1566000E+00  0.1286284E+04  0.2302501E+02
   0.1572000E+00  0.7461208E+11  0.7930846E+11  0.2697590E+01  0.1578000E+00  0.1296256E+04  0.2302501E+02
   0.1584000E+00  0.7355024E+11  0.7839948E+11  0.2702721E+01  0.1590000E+00  0.1306559E+04  0.2302501E+02
   0.1596000E+00  0.7246014E+11  0.7747302E+11  0.2707993E+01  0.1602000E+00  0.1317218E+04  0.2302501E+02
   0.1608000E+00  0.7134072E+11  0.7652878E+11  0.2713420E+01  0.1614000E+00  0.1328256E+04  0.2302501E+02
   0.1620000E+00  0.7019123E+11  0.7556577E+11  0.2719019E+01  0.1626000E+00  0.1339699E+04  0.2302501E+02
   0.1632000E+00  0.6901143E+11  0.7458218E+11  0.2724806E+01  0.1638000E+00  0.1351568E+04  0.2302501E+02
   0.1644000E+00  0.6780184E+11  0.7357522E+11  0.2730795E+01  0.1650000E+00  0.1363876E+04  0.2302501E+02
   0.1656000E+00  0.6656400E+11  0.7254104E+11  0.2736999E+01  0.1662000E+00  0.1376627E+04  0.2302501E+02
   0.1668000E+00  0.6530069E+11  0.7147470E+11  0.2743421E+01  0.1674000E+00  0.1389804E+04  0.2302501E+02
   0.1680000E+00  0.6401612E+11  0.7037039E+11  0.2750056E+01  0.1686000E+00  0.1403373E+04  0.2302501E+02
   0.1692000E+00  0.6271598E+11  0.6922176E+11  0.2756885E+01  0.1698000E+00  0.1417270E+04  0.2302501E+02
   0.1704000E+00  0.6140746E+11  0.6802265E+11  0.2763874E+01  0.1710000E+00  0.1431405E+04  0.2302501E+02
   0.1716000E+00  0.6009900E+11  0.6676810E+11  0.2770972E+01  0.1722000E+00  0.1445656E+04  0.2302501E+02
   0.1728000E+00  0.5879998E+11  0.6545572E+11  0.2778114E+01  0.1734000E+00  0.1459879E+04  0.2302501E+02
   0.1740000E+00  0.5752021E+11  0.6408710E+11  0.2785220E+01  0.1746000E+00  0.1473909E+04  0.2302501E+02
   0.1752000E+00  0.5626929E+11  0.6266912E+11  0.2792203E+01  0.1758000E+00  0.1487576E+04  0.2302501E+02
   0.1764000E+00  0.5505595E+11  0.6121459E+11  0.2798975E+01  0.1770000E+00  0.1500720E+04  0.2302501E+02
   0.1776000E+00  0.5388739E+11  0.5974167E+11  0.2805454E+01  0.1782000E+00  0.1513204E+04  0.2302501E+02
   0.1788000E+00  0.5276874E+11  0.5827219E+11  0.2811574E+01  0.1794000E+00  0.1524927E+04  0.2302501E+02
   0.1800000E+00  0.5170282E+11  0.5682870E+11  0.2817287E+01  0.1806000E+00  0.1535831E+04  0.2302501E+02
   0.1812000E+00  0.5069010E+11  0.5543131E+11  0.2822566E+01  0.1818000E+00  0.1545900E+04  0.2302501E+02
   0.1824000E+00  0.4972898E+11  0.5409509E+11  0.2827405E+01  0.1830000E+00  0.1555155E+04  0.2302501E+02
   0.1836000E+00  0.4881624E+11  0.5282881E+11  0.2831816E+01  0.1842000E+00  0.1563643E+04  0.2302501E+02
   0.1848000E+00  0.4794763E+11  0.5163510E+11  0.2835823E+01  0.1854000E+00  0.1571426E+04  0.2302501E+02
   0.1860000E+00  0.4711842E+11  0.5051176E+11  0.2839456E+01  0.1866000E+00  0.1578571E+04  0.2302501E+02
   0.1872000E+00  0.4632379E+11  0.4945340E+11  0.2842748E+01  0.1878000E+00  0.1585144E+04  0.2302501E+02
   0.1884000E+00  0.4555916E+11  0.4845297E+11  0.2845732E+01  0.1890000E+00  0.1591205E+04  0.2302501E+02
   0.1896000E+00  0.4482039E+11  0.4750296E+11  0.2848438E+01  0.1902000E+00  0.1596808E+04  0.2302501E+02
   0.1908000E+00  0.4410376E+11  0.4659611E+11  0.2850892E+01  0.1914000E+00  0.1601998E+04  0.2302501E+02
   0.1920000E+00  0.4340606E+11  0.4572578E+11  0.2853117E+01  0.1926000E+00  0.1606814E+04  0.2302501E+02
   0.1932000E+00  0.4272452E+11  0.4488613E+11  0.2855132E+01  0.1938000E+00  0.1611286E+04  0.2302501E+02
   0.1944000E+00  0.4205672E+11  0.4407212E+11  0.2856952E+01  0.1950000E+00  0.1615442E+04  0.2302501E+02
   0.1956000E+00  0.4140057E+11  0.4327948E+11  0.2858587E+01  0.1962000E+00  0.1619301E+04  0.2302501E+02
   0.1968000E+00  0.4075420E+11  0.4250465E+11  0.2860048E+01  0.1974000E+00  0.1622882E+04  0.2302501E+02
   0.1980000E+00  0.4011595E+11  0.4174470E+11  0.2861340E+01  0.1986000E+00  0.1626198E+04  0.2302501E+02
   0.1992000E+00  0.3948422E+11  0.4099724E+11  0.2862468E+01  0.1998000E+00  0.1629264E+04  0.2302501E+02
   0.2004000E+00  0.3885750E+11  0.4026037E+11  0.2863433E+01  0.2010000E+00  0.1632090E+04  0.2302501E+02
   0.2016000E+00  0.3823422E+11  0.3953260E+11  0.2864237E+01  0.2022000E+00  0.1634690E+04  0.2302501E+02
   0.2028000E+00  0.3761276E+11  0.3881282E+11  0.2864877E+01  0.2034000E+00  0.1637077E+04  0.2302501E+02
   0.2040000E+00  0.3699130E+11  0.3810021E+11  0.2865352E+01  0.2046000E+00  0.1639266E+04  0.2302501E+02
   0.2052000E+00  0.3636781E+11  0.3739424E+11  0.2865657E+01  0.2058000E+00  0.1641276E+04  0.2302501E+02
   0.2064000E+00  0.3573992E+11  0.3669458E+11  0.2865784E+01  0.2070000E+00  0.1643130E+04  0.2302501E+02
   0.2076000E+00  0.3510477E+11  0.3600113E+11  0.2865722E+01  0.2082000E+00  0.1644857E+04  0.2302501E+02
   0.2088000E+00  0.3445892E+11  0.3531392E+11  0.2865456E+01  0.2094000E+00  0.1646495E+04  0.2302501E+02
   0.2100000E+00  0.3379811E+11  0.3463315E+11  0.2864959E+01  0.2106000E+00  0.1648090E+04  0.2302501E+02
   0.2112000E+00  0.3311694E+11  0.3395910E+11  0.2864193E+01  0.2118000E+00  0.1649700E+04  0.2302501E+02
